FacultyArea,InstitutionType,AverageRating,Kolaylık,Anlaşılırlık,DersAnlatımı,Erişilebilirlik,Yardımseverlik,ReviewText,Sentiment
Mühendislik Fakültesi,üniversite,4.36,3.63,4.49,4.65,4.41,4.63,"Hocamız dersi anlatırken bilgisayar dünyasına adeta hızlı bir başlangıç yapmak gibiydi. Bilgisi, sabrı ve becerisiyle çok önemli olan bu dersi anlatması çok önemli. Sabırla ve tekrar ederek öğretmesi dersi öğrenmemizde etkili oldu. Hocamızın bilgilerinden daha fazla yararlanmak gerekli.",1.0
Mühendislik Fakültesi,üniversite,4.36,3.63,4.49,4.65,4.41,4.63,"Hocamızın her zaman dersi anlamaya, öğretmeye ve öğrenciyi derse çekmeye yönelik tavrı vardı. Öğrencinin yanında olan, çözüm odaklı, derslerini keyifle dinlediğim, ileride eğitmen olursam gerek bilgisi gerek davranışlarıyla örnek aldığım hocamdır.",1.0
Mühendislik Fakültesi,üniversite,4.36,3.63,4.49,4.65,4.41,4.63,Yorum yok.,1.0
Mühendislik Fakültesi,üniversite,4.36,3.63,4.49,4.65,4.41,4.63,Ders anlatımı anlaşılır ve etkili bir şekildedir.,1.0
Mühendislik Fakültesi,üniversite,4.36,3.63,4.49,4.65,4.41,4.63,A blessing for the student who really wants to learn. Highly recommended if you want to learn something rather than replenish credits.,1.0
Mühendislik Fakültesi,üniversite,4.36,3.63,4.49,4.65,4.41,4.63,Hocam çok iyi ders anlatıyor. Dersi çok akıcı.,1.0
Matematik,lise,1.8,1,1,1,5,1,"Alttaki yorumu görünce cevap verme gereksinimi duydum. Ortaokul boyunca matematikten nefret eden biri olarak Kağan Hoca'nın net anlatımı, öğretmen-öğrenci arasındaki disiplinli ilişkiyi düzgün bir şekilde uygulaması ile okulun en sevdiğim öğretmenlerindendir. Okul öğrencilerine birkaç kılıf fazladır.",0.0
Fizik,lise,3.4,4,3,1,5,4,Bir kısım çok severken bir kısmın hiç sevmediği bir öğretmen. Sınavlarının zorluğuyla övünür ama işini de düzgün yapar.,
Biyoloji,lise,4.0,4,2,4,5,5,"Akademik hayatı başarılarla dolu, öğrenci dostu, Yafl'ın en güzide öğretmenlerinden olan canım biyoloji öğretmenim. Öğrencileri zorlamaktansa ösym düzeyinde soru soran ve öğrencileri arasında adaletli davranan süper bir insan.",1.0
Resim,lise,5.0,5,5,5,5,5,Yorum yok.,1.0
Biyoloji,lise,4.0,2,4,5,4,5,Lisede en sevdiğim öğretmenlerimden birisiydi. Çok güzel ders anlatırdı. Saatlerce onu sıkılmadan dinlerdim. Siz çok yaşayın hocam!,1.0
İktisadi ve İdari Bilimler Fakültesi,üniversite,4.6,5,5,5,3,5,Çok iyi bir öğretmen. Ders anlatımı çok iyi. Mikrofonlu giriş istemediği sürece en sevdiğim öğretmen.,1.0
Türk Dili ve Edebiyatı,lise,1.0,1,1,1,1,1,"Çok başarılı ve işini severek yapan bir öğretmendir. Dört senelik lise eğitiminde derslerime sürekli girmiştir. Çok sert gibi görünse de pamuk yürekli, öğrencilerine çok değer veren biridir. Öğrencileri asla ayırmaz.",0.0
Biyoloji,lise,1.4,3,1,1,1,1,Olala.,0.0
Matematik,lise,2.2,2.33,2,2,3,1.67,20 yıllık öğrenim hayatımın en başarısız öğretmenidir kendileri. Geometriye yeteneğim olmadığını ve alan değiştirmemi söylemişlerdir 2003 senesinde. Şu anda bir mühendislik şirketim var. Kız arkadaşım olduğu için lise 1'de karnemde 1 görmeme sebep olan bu hocamıza hakkım varsa helal etmiyorum.,0.0
İktisadi ve İdari Bilimler Fakültesi,üniversite,4.6,3,5,5,5,5,"2011-2016 yılları arasında öğrencisi olma şansı yakaladığım, her alanda bilgili ve kültürlü hocam. Öğrenci merkezli eğitim anlayışına sahip ve her zaman öğrencilerine değer veren bir eğitmen. Hem aldığım ders, hem de sonrası adına kendisine çok teşekkür ediyorum. Öğretim hayatında başarılar dilerim.",1.0
Fizik,lise,1.6,2,1.5,1.5,2,1,Hocam soruları cevap anahtarına göre çözmeyin. Teşekkürler.,0.0
