FacultyArea,InstitutionType,ReviewText,AverageRating,Sentiment
Mühendislik Fakültesi,üniversite,"Hocamız dersi anlatırken bilgisayar dünyasına adeta hızlı bir başlangıç yapmak gibiydi. Bilgisi, sabrı ve becerisiyle çok önemli olan bu dersi anlatması çok önemli. Sabırla ve tekrar ederek öğretmesi dersi öğrenmemizde etkili oldu. Hocamızın bilgilerinden daha fazla yararlanmak gerekli.",4.36,1.0
Mühendislik Fakültesi,üniversite,"Hocamızın her zaman dersi anlamaya, öğretmeye ve öğrenciyi derse çekmeye yönelik tavrı vardı. Öğrencinin yanında olan, çözüm odaklı, derslerini keyifle dinlediğim, ileride eğitmen olursam gerek bilgisi gerek davranışlarıyla örnek aldığım hocamdır.",4.36,1.0
Mühendislik Fakültesi,üniversite,Ders anlatımı anlaşılır ve etkili bir şekildedir.,4.36,1.0
Mühendislik Fakültesi,üniversite,A blessing for the student who really wants to learn. Highly recommended if you want to learn something rather than replenish credits.,4.36,1.0
Mühendislik Fakültesi,üniversite,Hocam çok iyi ders anlatıyor. Dersi çok akıcı.,4.36,1.0
Matematik,lise,"Alttaki yorumu görünce cevap verme gereksinimi duydum. Ortaokul boyunca matematikten nefret eden biri olarak Kağan Hoca'nın net anlatımı, öğretmen-öğrenci arasındaki disiplinli ilişkiyi düzgün bir şekilde uygulaması ile okulun en sevdiğim öğretmenlerindendir. Okul öğrencilerine birkaç kılıf fazladır.",1.8,0.0
Fizik,lise,Bir kısım çok severken bir kısmın hiç sevmediği bir öğretmen. Sınavlarının zorluğuyla övünür ama işini de düzgün yapar.,3.4,
Biyoloji,lise,"Akademik hayatı başarılarla dolu, öğrenci dostu, Yafl'ın en güzide öğretmenlerinden olan canım biyoloji öğretmenim. Öğrencileri zorlamaktansa ösym düzeyinde soru soran ve öğrencileri arasında adaletli davranan süper bir insan.",4.0,1.0
Biyoloji,lise,Lisede en sevdiğim öğretmenlerimden birisiydi. Çok güzel ders anlatırdı. Saatlerce onu sıkılmadan dinlerdim. Siz çok yaşayın hocam!,4.0,1.0
İktisadi ve İdari Bilimler Fakültesi,üniversite,Çok iyi bir öğretmen. Ders anlatımı çok iyi. Mikrofonlu giriş istemediği sürece en sevdiğim öğretmen.,4.6,1.0
Türk Dili ve Edebiyatı,lise,"Çok başarılı ve işini severek yapan bir öğretmendir. Dört senelik lise eğitiminde derslerime sürekli girmiştir. Çok sert gibi görünse de pamuk yürekli, öğrencilerine çok değer veren biridir. Öğrencileri asla ayırmaz.",1.0,0.0
Biyoloji,lise,Olala.,1.4,0.0
Matematik,lise,20 yıllık öğrenim hayatımın en başarısız öğretmenidir kendileri. Geometriye yeteneğim olmadığını ve alan değiştirmemi söylemişlerdir 2003 senesinde. Şu anda bir mühendislik şirketim var. Kız arkadaşım olduğu için lise 1'de karnemde 1 görmeme sebep olan bu hocamıza hakkım varsa helal etmiyorum.,2.2,0.0
İktisadi ve İdari Bilimler Fakültesi,üniversite,"2011-2016 yılları arasında öğrencisi olma şansı yakaladığım, her alanda bilgili ve kültürlü hocam. Öğrenci merkezli eğitim anlayışına sahip ve her zaman öğrencilerine değer veren bir eğitmen. Hem aldığım ders, hem de sonrası adına kendisine çok teşekkür ediyorum. Öğretim hayatında başarılar dilerim.",4.6,1.0
Fizik,lise,Hocam soruları cevap anahtarına göre çözmeyin. Teşekkürler.,1.6,0.0
Coğrafya,lise,Otur kalk yapmaktan beynim ağırıyordu. :( Deve cüce oynattığınız için sağolun hocam.,3.8,1.0
Felsefe,lise,"Mükemmel bir öğretmen, çok çalışkan, her zaman bize rehberlik yaptı ve bize değerli olduğumuzu hissettirdi. Bugun bir meslek sahibi isem onun sayesinde.",3.3,
